name,nickname,record,height,weight,reach,stance,DOB,significant strikes per min,striking accuracy,strikes absorbed per min,strike defense,takedown average,takedown accuracy,takedown defense,submission average,most recent fight
"Josh,Emmett",CC0,19-4-0,5  6,145 lbs.,70,Orthodox,"Mar 04, 1985",4.04,36%,4.61,61%,0.91,37%,46%,0.1,win
"Yan,Cabral",,13-3-0,5  11,155 lbs.,73,Orthodox,"May 13, 1983",2.02,47%,1.98,62%,2.89,35%,37%,1.2,loss
"Oban,Elliott",The Welsh Gangster,12-2-0,6  0,170 lbs.,72,Orthodox,"Dec 19, 1997",4.26,49%,2.25,62%,2.16,50%,72%,0.0,win
"Jamall,Emmers",Pretty Boy,20-8-0,5  10,145 lbs.,74,Orthodox,"Jul 24, 1989",5.30,48%,4.05,57%,1.83,40%,90%,0.2,loss
"Movsar,Evloev",,19-0-0,5  7,145 lbs.,72,Orthodox,"Feb 11, 1994",3.99,48%,2.66,60%,4.67,48%,61%,0.2,win
"Sarah,D'alelio",The Monster,11-7-0,5  7,145 lbs.,--,,"Dec 13, 1980",2.40,33%,0.00,100%,0.00,0%,100%,0.0,loss
"Tonya,Evinger",Triple Threat,"19-8-0,(1,NC)",5  7,135 lbs.,70,Orthodox,"Jun 04, 1981",1.16,42%,4.02,38%,0.93,30%,33%,0.9,loss
"Chan-Mi,Jeon",,5-2-0,5  5,115 lbs.,--,Orthodox,"Aug 28, 1997",6.23,31%,7.77,55%,0.00,0%,0%,0.0,loss
"Kyle,Jensen",,4-11-2,5  9,170 lbs.,--,Orthodox,"Jul 20, 1979",0.00,0%,0.92,60%,6.92,100%,0%,6.9,loss
"Tony,Johnson",,7-2-0,6  2,205 lbs.,76,Orthodox,"May 02, 1983",4.00,92%,3.67,22%,0.00,0%,90%,0.0,win
"Denise,Gomes",Dee,10-3-0,5  2,115 lbs.,63,Orthodox,"Dec 30, 1999",4.55,50%,3.11,51%,0.72,25%,67%,0.9,win
"Takanori,Gomi",The Fireball Kid,"35-14-0,(1,NC)",5  7,155 lbs.,70,Southpaw,"Sep 22, 1978",3.81,41%,3.52,60%,1.23,65%,63%,0.8,loss
"Silvana,Gomez,Juarez",La Malvada,11-5-0,5  3,115 lbs.,65,Orthodox,"Dec 06, 1984",4.26,32%,4.04,61%,0.00,0%,30%,0.0,loss
